	observed_species	shannon	singles
GOS2243	16.0	3.94770277922	14.0
Ga0163111	107.0	6.39163979859	83.0
Ga0160423	76.0	6.15815295337	66.0
Ga0075023	238.0	7.66869654445	198.0
Ga0078894	123.0	6.4768316446	97.0
Ga0105357	90.0	5.72456008799	51.0
Ga0105358	93.0	5.839879319	51.0
Ga0157281	29.0	4.56781203253	28.0
BBAY87	259.0	7.87945232875	233.0
Ga0066672	149.0	6.98825064348	112.0
Ga0116181	16.0	3.34973014665	12.0
JGI24724J26744	92.0	6.29573783635	72.0
Ga0066825	84.0	6.08305593193	68.0
Ga0074063	180.0	7.20457105367	142.0
Ga0066670	168.0	7.11084293919	131.0
Ga0066702	129.0	6.76420779745	100.0
Ga0066675	211.0	7.24846075428	162.0
JGI26262J51727	41.0	5.15180549887	30.0
Ga0066613	20.0	4.08005035146	16.0
JGI26381J51731	29.0	4.55309008353	16.0
JGI26238J51125	22.0	4.16976696234	13.0
Ga0063232	40.0	5.08837540338	29.0
Ga0164293	73.0	5.89824880949	46.0
Ga0074193	15.0	3.90689059561	15.0
Ga0116170	10.0	3.2389012566	7.0
Ga0073932	85.0	6.33692547101	75.0
Ga0101944	121.0	6.82423810483	111.0
Ga0066411	22.0	4.35655833542	18.0
Ga0105348	58.0	5.41644739851	37.0
JGI25136J39404	3.0	1.37095059445	2.0
JGI24515J20084	10.0	3.27761343682	9.0
JGI25130J35507	7.0	2.75	6.0
Ga0080013	12.0	3.28689575452	10.0
Ga0114901	13.0	2.78702042923	10.0
Ga0114911	10.0	3.2389012566	7.0
Ga0079099	37.0	4.88089419404	27.0
Ga0079066	41.0	5.31407531855	37.0
Ga0031655	29.0	4.64131464248	24.0
PaHGMunAill	35.0	4.4397190316	22.0
WSSedA1TDRAFT	18.0	4.14266435555	17.0
JGI12210J13797	99.0	6.34098399598	59.0
BBAY85	139.0	7.03938686531	130.0
Ga0100496	6.0	2.58496250072	6.0
Ga0070418	11.0	3.45943161864	11.0
Ga0073903	88.0	6.34670308384	83.0
Ga0099925	9.0	3.12192809489	8.0
Ga0099933	5.0	2.32192809489	5.0
JGI12646J13576	4.0	2.0	4.0
Ga0058689	102.0	6.44347395646	83.0
BBAY74	261.0	7.85522273464	228.0
Ga0099823	11.0	3.30055909239	5.0
JGI26341J46601	11.0	3.32636040795	5.0
Ga0182006	62.0	5.04576176972	42.0
JGI12659J15293	37.0	5.01184218813	30.0
Ga0126369	90.0	6.01599604379	63.0
Ga0066821	13.0	3.64022392894	11.0
JGI26340J50214	11.0	3.39274741045	9.0
BBAY90	319.0	8.16297183244	287.0
Ga0116191	32.0	4.85578971881	28.0
Ga0066178	33.0	4.86850789897	28.0
Ga0066180	46.0	5.2449018769	37.0
Ga0180087	6.0	2.58496250072	6.0
Ga0137436	12.0	3.54659356429	11.0
BBAY92	97.0	6.45997946478	84.0
BBAY94	102.0	6.54589638714	87.0
Ga0137449	9.0	3.12192809489	8.0
Ga0105235	8.0	2.375	6.0
Draft	172.0	6.93592744291	122.0
Ga0129338	7.0	2.80735492206	7.0
Ga0102919	52.0	5.54302373202	41.0
Ga0102899	39.0	5.22518642966	33.0
Ga0102921	66.0	5.8873736407	48.0
Ga0031656	61.0	5.65145079989	50.0
Ga0062378	78.0	6.15912350298	67.0
Ga0105093	16.0	3.69026039097	11.0
Ga0105107	10.0	3.10689059561	7.0
Ga0105101	12.0	3.45281953111	9.0
Ga0105099	9.0	2.90576458466	5.0
Ga0105094	12.0	3.41041725276	9.0
Ga0105100	14.0	3.6818808028	10.0
Ga0137460	6.0	2.52164063634	5.0
Ga0105105	28.0	4.68075775572	25.0
Ga0105095	9.0	3.02205520887	7.0
JGI12103J14257	7.0	2.64160416787	6.0
Ga0007746	9.0	2.66329080818	7.0
Ga0066177	63.0	5.72451084516	46.0
Ga0066179	36.0	4.88153084552	27.0
Ga0007761	11.0	3.24836504675	8.0
Ga0066181	30.0	4.72192809489	24.0
Ga0007750	5.0	2.15563906223	3.0
Ga0007787	78.0	5.93971065015	66.0
Ga0007751	20.0	4.26269239084	17.0
JGI25912J50252	24.0	3.86220577372	19.0
LBH21	66.0	5.39480714776	58.0
LBLPB2	32.0	5.0	32.0
Ga0052270	11.0	3.33467914105	10.0
SA1	24.0	4.50470648356	22.0
JGI24654J20067	10.0	3.27761343682	9.0
JGI24662J20072	5.0	2.32192809489	5.0
JGI24653J20064	6.0	2.58496250072	6.0
JGI24660J20065	5.0	2.25162916739	4.0
JGI24652J20063	7.0	2.55034070955	5.0
JGI24655J20075	16.0	3.96981578243	15.0
JGI24659J20068	13.0	3.58989809546	12.0
JGI24657J20077	15.0	3.875	14.0
JGI24658J20074	7.0	2.725480557	5.0
JGI24656J20076	6.0	2.40563906223	5.0
JGI25917J50250	18.0	4.095795255	14.0
